technology_id,technology,category,description,origin_status,origin_source_ids,invariant_ids,unit_count,unit_ids,review_result,notes
TECH-036,Audit・Trace,運用,本文中で「Audit・Trace」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-016;SRC-130,INV-019;INV-020,63,1.2.2;2.4.1;2.7.1;2.7.4;2.8.1;3.1.5;3.5.1;3.5.2;3.5.5;3.7.4;3.7.7;3.9.1;3.9.3;4.2.5;4.3.5;4.5.4;4.6.1;4.6.4;5.1.5;5.2.5;5.3.2;5.4.2;5.4.3;5.8.3;6.1.2;6.4.1;6.4.3;6.5.1;6.6.1;6.6.4;6.7.1;6.7.2;INTRO-6;7.10.1;7.2.4;7.7.1;7.8.3;7.9.1;7.9.2;INTRO-7;8.1.4;8.2.4;8.4.1;8.4.2;8.4.3;8.4.4;8.4.5;8.8.1;INTRO-8;9.1.1;9.10.1;9.10.4;9.10.5;9.11.2;9.11.3;9.11.4;9.3.3;9.4.1;9.5.5;9.7.4;9.9.1;9.9.3;11.3.5,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-037,性能・可用性,運用,本文中で「性能・可用性」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-021;INV-023,50,2.7.2;2.7.3;3.2.4;3.6.1;3.6.4;3.6.5;3.7.2;3.7.3;3.7.5;3.8.2;3.9.1;3.9.3;3.9.4;4.1.5;4.3.1;4.3.5;4.4.4;4.5.1;4.5.4;4.6.2;4.6.3;4.7.4;5.3.2;5.3.3;7.1.3;7.1.4;7.10.2;7.2.1;7.2.2;7.3.5;7.4.3;7.7.4;7.8.2;7.8.3;7.9.1;8.5.1;8.5.2;8.5.3;8.5.4;8.5.5;8.7.2;INTRO-8;9.11.2;9.11.3;9.11.4;9.3.1;9.3.2;9.5.1;9.6.1;INTRO-9,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-038,Cost・Routing,運用,本文中で「Cost・Routing」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-133;SRC-134,INV-021,99,1.7.2;2.6.2;2.7.3;2.7.4;2.8.1;3.2.2;3.2.3;3.2.4;3.3.2;3.3.5;3.4.1;3.4.2;3.4.6;3.4.7;3.6.3;3.6.5;3.7.2;3.7.3;3.9.1;3.9.4;4.1.1;4.1.5;4.1.6;4.2.1;4.2.2;4.2.4;4.2.5;4.3.1;4.3.5;4.4.2;4.5.4;4.5.6;4.7.4;5.3.2;5.3.3;5.3.4;5.5.1;5.6.2;7.1.3;7.1.5;7.10.1;7.10.2;7.2.1;7.3.5;7.4.1;7.4.5;7.5.2;7.5.4;7.5.6;7.7.4;7.7.5;7.8.1;7.8.2;7.8.3;INTRO-7;8.3.3;8.4.1;8.5.2;8.5.4;8.6.1;8.6.2;8.6.3;8.6.4;8.6.5;8.8.1;8.8.2;8.8.3;8.8.5;INTRO-8;9.1.1;9.1.2;9.1.3;9.1.4;9.10.1;9.10.5;9.11.1;9.11.3;9.11.4;9.3.1;9.3.2;9.4.1;9.4.3;9.4.5;9.5.1;9.5.4;9.5.5;9.6.1;9.6.3;9.7.1;9.7.3;9.7.4;9.8.2;9.8.4;9.8.5;9.9.1;9.9.3;9.9.6;INTRO-9;INTRO-10,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-039,更新・削除・Rollback,運用,本文中で「更新・削除・Rollback」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-054;SRC-055,INV-003;INV-017;INV-018;INV-023,89,1.3.1;2.2.1;2.6.1;2.6.2;2.7.4;2.8.1;3.1.1;3.1.5;3.2.1;3.2.3;3.2.5;3.2.6;3.2.7;3.3.4;3.5.1;3.5.5;3.5.6;3.7.1;3.7.2;3.7.5;3.7.6;3.7.7;3.8.1;3.8.2;3.9.1;3.9.2;3.9.4;INTRO-3;4.1.2;4.1.4;4.1.6;4.2.2;4.2.5;4.3.1;4.5.5;4.6.1;4.6.2;4.7.4;5.1.1;5.1.3;5.1.4;5.2.2;5.4.2;5.5.4;5.7.1;5.8.1;6.4.2;6.4.3;6.7.2;7.1.2;7.3.2;7.3.3;7.3.5;7.3.6;7.4.3;7.6.6;7.7.6;7.8.3;7.9.2;8.1.4;8.1.5;8.2.1;8.2.2;8.2.4;8.3.1;8.3.5;8.4.2;8.4.5;8.6.5;8.7.1;8.7.2;8.7.3;8.7.4;8.7.5;8.8.3;INTRO-8;9.1.5;9.10.1;9.10.3;9.10.4;9.11.1;9.11.3;9.11.4;9.2.3;9.2.4;9.6.4;9.7.5;INTRO-9;INTRO-10,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-040,Governance,運用,本文中で「Governance」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-016;INV-019;INV-024,5,2.7.4;8.8.1;8.8.2;8.8.4;INTRO-8,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-041,Federated・Routed RAG,Advanced RAG,本文中で「Federated・Routed RAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-132;SRC-147;SRC-148;SRC-149;SRC-172;SRC-159,INV-001;INV-002;INV-004;INV-008,13,2.8.2;3.6.5;3.7.3;3.9.4;7.3.5;8.5.2;9.11.1;9.11.2;9.11.3;9.2.3;9.3.1;9.3.2;INTRO-9,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-042,Structured Data RAG,Advanced RAG,本文中で「Structured Data RAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-150;SRC-151;SRC-168;SRC-169,INV-015;INV-022,7,9.11.1;9.11.2;9.11.3;9.4.1;9.4.2;9.4.3;INTRO-9,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-043,Long-context RAG,Advanced RAG,本文中で「Long-context RAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-059;SRC-152;SRC-153,INV-009;INV-021;INV-024,8,9.1.3;9.11.1;9.11.2;9.11.3;9.5.1;9.5.2;9.5.3;INTRO-9,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-044,Hierarchical RAG,Advanced RAG,本文中で「Hierarchical RAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-033;SRC-047;SRC-129;SRC-154;SRC-155;SRC-156;SRC-172,INV-003;INV-004;INV-005,16,3.4.4;3.7.2;4.4.4;7.3.4;8.1.2;8.3.4;9.11.1;9.11.2;9.11.3;9.6.1;9.6.2;9.6.3;9.7.1;INTRO-9;11.3.1;11.3.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-045,GraphRAG,Advanced RAG,本文中で「GraphRAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-158;SRC-159;SRC-160,INV-001;INV-003;INV-004,10,2.8.2;4.7.4;9.1.2;9.1.5;9.11.1;9.11.2;9.11.3;9.7.1;9.7.3;INTRO-9,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-046,Multimodal RAG,Advanced RAG,本文中で「Multimodal RAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-161;SRC-173,INV-004;INV-012;INV-022,8,2.8.2;9.11.1;9.11.2;9.11.3;9.8.1;9.8.2;9.8.3;INTRO-9,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-047,Retrieval-aware training,Advanced RAG,本文中で「Retrieval-aware training」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-141;SRC-142;SRC-143;SRC-162;SRC-176;SRC-177,INV-006;INV-009;INV-020,12,4.1.6;4.3.3;6.3.1;9.1.3;9.10.1;9.11.1;9.11.2;9.11.3;9.9.2;INTRO-9;11.3.3;11.3.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-048,AWS Knowledge Bases,AWS implementation,本文中で「AWS Knowledge Bases」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-195,INV-004;INV-009;INV-012;INV-017,2,INTRO-10;11.3.3,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-049,S3 Vectors,AWS implementation,本文中で「S3 Vectors」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-001;INV-003;INV-006,1,INTRO-10,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
