ID	論文タイトル（統一）	別名・略称	著者	年	出現回数	関連章	関連レイヤー	関連技術・概念	ガイドでの扱い	URL	備考
P001	Dense Passage Retrieval for Open-Domain Question Answering	DPR	Karpukhin et al.	2020	2	1. RAGとは何か（必須） / 4. Retrieval（Real-time Layer）（必須）	概論 / Real-time Layer	Dense retrieval / Dense retrieval / dual encoder	RAGでは「生成モデルが賢いか」だけでなく「根拠候補を取れるか」が品質上限になる。4章のretrieval説明への橋渡しにする。	https://arxiv.org/abs/2004.04906	同URLに複数表記あり
P097	Manu: A Cloud Native Vector Database Management System		Rentong Guo et al.	2022	1	3. 回答に使う資料を準備する	Batch Layer		docsで参考論文として参照。	https://arxiv.org/abs/2206.13843	docsから自動追記
P098	MillWheel: Fault-Tolerant Stream Processing at Internet Scale		Tyler Akidau et al.	2013	1	3. 回答に使う資料を準備する	Batch Layer		docsで参考論文として参照。	https://www.vldb.org/pvldb/vol6/p1033-akidau.pdf	docsから自動追記
P099	PubLayNet: largest dataset ever for document layout analysis		Xu Zhong et al.	2019	2	3. 回答に使う資料を準備する / 7. 品質を評価し改善する	Batch Layer / Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/1908.07836	docsから自動追記
P100	PubTables-1M: Towards comprehensive table extraction from unstructured documents		Brandon Smock et al.	2022	1	3. 回答に使う資料を準備する	Batch Layer		docsで参考論文として参照。	https://arxiv.org/abs/2110.00061	docsから自動追記
P101	Role-Based Access Control Models		Ravi S. Sandhu et al.	1996	4	3. 回答に使う資料を準備する / 4. 質問に合う根拠を探す / 8. 安全に運用する	Batch Layer / Real-time Layer / Control Plane		docsで参考論文として参照。	https://doi.org/10.1109/2.485845	docsから自動追記
P102	The ML Test Score: A Rubric for ML Production Readiness and Technical Debt Reduction		Eric Breck et al.	2017	2	3. 回答に使う資料を準備する / 7. 品質を評価し改善する	Batch Layer / Control Plane		docsで参考論文として参照。	https://research.google/pubs/the-ml-test-score-a-rubric-for-ml-production-readiness-and-technical-debt-reduction	docsから自動追記
P103	Towards Trustworthy Retrieval Augmented Generation for Large Language Models: A Survey		Bo Ni et al.	2025	3	3. 回答に使う資料を準備する / 8. 安全に運用する	Batch Layer / Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2502.06872	docsから自動追記
P104	ACORN: Performant and Predicate-Agnostic Search Over Vector Embeddings and Structured Data		Patel et al.	2024	3	4. 質問に合う根拠を探す / 5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2403.04871	docsから自動追記
P105	Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity		Jeong et al.	2024	2	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2403.14403	docsから自動追記
P106	An Analysis of Fusion Functions for Hybrid Retrieval		Bruch et al.	2022	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2210.11934	docsから自動追記
P107	Anserini Gets Dense Retrieval: Integration of Lucene's HNSW Indexes		Ma et al.	2023	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2304.12139	docsから自動追記
P108	ColBERTv2		Santhanam et al.	2022	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2112.01488	docsから自動追記
P109	Document Expansion by Query Prediction		Nogueira et al.	2019	2	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/1904.08375	docsから自動追記
P110	Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions		Trivedi et al.	2023	2	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2212.10509	docsから自動追記
P111	Learning Passage Impacts for Inverted Indexes		Mallia et al.	2021	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2104.12016	docsから自動追記
P112	Leveraging Semantic and Lexical Matching to Improve the Recall of Document Retrieval Systems		Kuzi et al.	2020	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2010.01195	docsから自動追記
P113	Open-Domain Question Answering Goes Conversational via Question Rewriting		Anantha et al.	2020	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2010.04898	docsから自動追記
P114	Query Resolution for Conversational Search with Limited Supervision		Voskarides et al.	2020	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2005.11723	docsから自動追記
P115	Query Rewriting for Retrieval-Augmented Large Language Models		Ma et al.	2023	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2305.14283	docsから自動追記
P116	SPLADE v2		Formal et al.	2021	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2109.10086	docsから自動追記
P117	Term-weighting approaches in automatic text retrieval		Salton & Buckley	1988	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://doi.org/10.1016/0306-4573(88)90021-0	docsから自動追記
P118	Text Embeddings by Weakly-Supervised Contrastive Pre-training		Wang et al.	2022	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2212.03533	docsから自動追記
P119	Unsupervised Domain Adaptation for Sparse Retrieval by Filling Vocabulary and Word Frequency Gaps		Iida & Okazaki	2022	1	4. 質問に合う根拠を探す	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2211.03988	docsから自動追記
P120	Attention Sorting Combats Recency Bias In Long Context Language Models		Alexander Peysakhovich, Adam Lerer	2023	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2310.01427	docsから自動追記
P121	Compressing Context to Enhance Inference Efficiency of Large Language Models		Yucheng Li et al.	2023	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2310.06201	docsから自動追記
P122	Deduplicating Training Data Makes Language Models Better		Katherine Lee et al.	2021	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2107.06499	docsから自動追記
P123	Detecting Near-Duplicates for Web Crawling		Gurmeet Singh Manku, Arvind Jain, Anish Das Sarma	2007	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://dl.acm.org/doi/10.1145/1242572.1242592	docsから自動追記
P124	FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation		Tu Vu et al.	2023	2	5. 根拠を選別・整形する / 8. 安全に運用する	Real-time Layer / Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2310.03214	docsから自動追記
P125	IntenT5: Search Result Diversification using Causal Language Models		Sean MacAvaney et al.	2021	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2108.04026	docsから自動追記
P126	Learning Filter-Aware Distance Metrics for Nearest Neighbor Search with Multiple Filters		Ananya Sutradhar et al.	2025	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2511.04073	docsから自動追記
P127	LongBench: A Bilingual, Multitask Benchmark for Long Context Understanding		Yushi Bai et al.	2023	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2308.14508	docsから自動追記
P128	Measuring Attribution in Natural Language Generation Models		Hannah Rashkin et al.	2023	5	5. 根拠を選別・整形する / 6. 根拠に基づいて回答する / 7. 品質を評価し改善する / 8. 安全に運用する	Real-time Layer / Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2112.12870	docsから自動追記
P129	NaviX: A Native Vector Index Design for Graph DBMSs With Robust Predicate-Agnostic Search Performance		Gaurav Sehgal, Semih Salihoglu	2025	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2506.23397	docsから自動追記
P130	On the Resemblance and Containment of Documents		Andrei Z. Broder	1997	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://ieeexplore.ieee.org/document/666900	docsから自動追記
P131	RAGTruth: A Hallucination Corpus for Developing Trustworthy Retrieval-Augmented Language Models		Cheng Niu et al.	2024	2	5. 根拠を選別・整形する / 6. 根拠に基づいて回答する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2401.00396	docsから自動追記
P132	RankT5: Fine-Tuning T5 for Text Ranking with Ranking Losses		Honglei Zhuang et al.	2023	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2210.10634	docsから自動追記
P133	RULER: What’s the Real Context Size of Your Long-Context Language Models?		Cheng-Ping Hsieh et al.	2024	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2404.06654	docsから自動追記
P134	Securing the Agent: Vendor-Neutral, Multitenant Enterprise Retrieval and Tool Use		Francisco Javier Arceo, Varsha Prasad Narsing	2026	1	5. 根拠を選別・整形する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2605.05287	docsから自動追記
P135	StreamingQA: A Benchmark for Adaptation to New Knowledge over Time in Question Answering Models		Adam Liška et al.	2022	2	5. 根拠を選別・整形する / 8. 安全に運用する	Real-time Layer / Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2205.11388	docsから自動追記
P136	HAGRID: A Human-LLM Collaborative Dataset for Generative Information-Seeking with Attribution		Ehsan Kamalloo et al.	2023	1	6. 根拠に基づいて回答する	Real-time Layer		docsで参考論文として参照。	https://arxiv.org/abs/2307.16883	docsから自動追記
P137	Beyond Accuracy: Behavioral Testing of NLP Models with CheckList		Marco Tulio Ribeiro et al.	2020	1	7. 品質を評価し改善する	Control Plane		docsで参考論文として参照。	https://aclanthology.org/2020.acl-main.442	docsから自動追記
P138	Evaluation of Retrieval-Augmented Generation: A Survey		Hao Yu et al.	2024	1	7. 品質を評価し改善する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2405.07437	docsから自動追記
P139	Know What You Don't Know: Unanswerable Questions for SQuAD		Pranav Rajpurkar et al.	2018	1	7. 品質を評価し改善する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/1806.03822	docsから自動追記
P140	Practical Guide to Controlled Experiments on the Web		Ron Kohavi et al.	2007	1	7. 品質を評価し改善する	Control Plane		docsで参考論文として参照。	https://doi.org/10.1145/1281192.1281295	docsから自動追記
P141	Analyzing Leakage of Personally Identifiable Information in Language Models		Nils Lukas et al.	2023	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2302.00539	docsから自動追記
P142	Benchmarking and Defending Against Indirect Prompt Injection Attacks on Large Language Models		Jingwei Yi et al.	2023	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2312.14197	docsから自動追記
P143	Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing		Inioluwa Deborah Raji et al.	2020	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2001.00973	docsから自動追記
P144	Curator: Efficient Indexing for Multi-Tenant Vector Databases		Yicheng Jin et al.	2024	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2401.07119	docsから自動追記
P145	Deep Learning with Differential Privacy		Martin Abadi et al.	2016	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/1607.00133	docsから自動追記
P146	Efficient Memory Management for Large Language Model Serving with PagedAttention		Woosuk Kwon et al.	2023	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2309.06180	docsから自動追記
P147	Extracting Training Data from Large Language Models		Nicholas Carlini et al.	2021	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2012.07805	docsから自動追記
P148	Failing Loudly: An Empirical Study of Methods for Detecting Dataset Shift		Stephan Rabanser et al.	2018	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/1810.11953	docsから自動追記
P149	Fairness and Abstraction in Sociotechnical Systems		Andrew D. Selbst et al.	2019	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://doi.org/10.1145/3287560.3287598	docsから自動追記
P150	FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance		Lingjiao Chen	2023	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2305.05176	docsから自動追記
P151	Generating Is Believing: Membership Inference Attacks against Retrieval-Augmented Generation		Yuying Li et al.	2024	2	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2406.19234	docsから自動追記
P152	It's About Time: Incorporating Temporality in Retrieval Augmented Language Models		Anoushka Gade and Jorjeta Jetcheva	2024	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2401.13222	docsから自動追記
P153	Membership Inference Attacks Against Machine Learning Models		Reza Shokri et al.	2017	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/1610.05820	docsから自動追記
P154	Model Cards for Model Reporting		Margaret Mitchell et al.	2018	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/1810.03993	docsから自動追記
P155	Prompt Injection attack against LLM-integrated Applications		Yi Liu et al.	2023	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2306.05499	docsから自動追記
P156	Protection of Information in Computer Systems		Jerome H. Saltzer and Michael D. Schroeder	1975	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://doi.org/10.1109/PROC.1975.9939	docsから自動追記
P157	RAG-Thief: Scalable Extraction of Private Data from Retrieval-Augmented Generation Applications with Agent-based Attacks		Changyue Jiang et al.	2024	2	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2411.14110	docsから自動追記
P158	RouteLLM: Learning to Route LLMs with Preference Data		Isaac Ong et al.	2024	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2406.18665	docsから自動追記
P159	SPFresh: Incremental In-Place Update for Billion-Scale Vector Search		Yuming Xu et al.	2024	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2410.14452	docsから自動追記
P160	StruQ: Defending Against Prompt Injection with Structured Queries		Sizhe Chen et al.	2024	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2402.06363	docsから自動追記
P161	The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions		Eric Wallace et al.	2024	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://arxiv.org/abs/2404.13208	docsから自動追記
P162	The Tail at Scale		Jeff Dean and Luiz André Barroso	2013	1	8. 安全に運用する	Control Plane		docsで参考論文として参照。	https://research.google/pubs/the-tail-at-scale	docsから自動追記
